"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Retail sale of games and toys in specialized stores","4764","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","476 Retail sale of cultural and recreation goods in specialized stores","This class includes:
- retail sale of games and toys, made of all materials","This class excludes:
- retail sale of video game consoles, see 4741
- retail sale of non-customized software, including video games, see 4741"
"Retail sale of other goods in specialized stores","477","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"This group includes the sale in specialized stores carrying a particular line of products not included in other parts of the classification, such as clothing, footwear and leather articles, pharmaceutical and medical goods, watches, souvenirs, cleaning ma",
"Retail sale of clothing, footwear and leather articles in specialized stores","4771","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","477 Retail sale of other goods in specialized stores","This class includes:
- retail sale of articles of clothing
- retail sale of articles of fur
- retail sale of clothing accessories such as gloves, ties, braces etc.
- retail sale of umbrellas
- retail sale of footwear
- retail sale of leather goods
- retai","This class excludes:
- retail sale of textiles, see 4751"
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","4772","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","477 Retail sale of other goods in specialized stores","This class includes:
- retail sale of pharmaceuticals
- retail sale of medical and orthopaedic goods
- retail sale of perfumery and cosmetic articles",
"Other retail sale of new goods in specialized stores","4773","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","477 Retail sale of other goods in specialized stores","This class includes:
- retail sale of photographic, optical and precision equipment
- activities of opticians
- retail sale of watches, clocks and jewellery
- retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food
- retail sale of so",
"Retail sale of second-hand goods","4774","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","477 Retail sale of other goods in specialized stores","This class includes:
- retail sale of second-hand books
- retail sale of other second-hand goods
- retail sale of antiques
- activities of auctioning houses (retail)","This class excludes:
- retail sale of second-hand motor vehicles, see 4510
- activities of Internet auctions and other non-store auctions (retail), see 4791, 4799
- activities of pawn shops, see 6492"
"Retail sale via stalls and markets","478","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles",,"This group includes the retail sale of any kind of new or second hand product in a usually movable stall either along a public road or at a fixed marketplace.",
"Retail sale via stalls and markets of food, beverages and tobacco products","4781","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","478 Retail sale via stalls and markets","This class includes:
- retail sale of food, beverages and tobacco products via stalls or markets","This class excludes:
- retail sale of prepared food for immediate consumption (mobile food vendors), see 5610"
"Retail sale via stalls and markets of textiles, clothing and footwear","4782","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","478 Retail sale via stalls and markets","This class includes:
- retail sale of textiles, clothing and footwear via stalls or markets",
"Retail sale via stalls and markets of other goods","4789","G Wholesale and retail trade; repair of motor vehicles and motorcycles","47 Retail trade, except of motor vehicles and motorcycles","478 Retail sale via stalls and markets","This class includes:
- retail sale of other goods via stalls or markets, such as:
* carpets and rugs
* books
* games and toys
* household appliances and consumer electronics
* music and video recordings",
